título,descripción,fecha
"Evento: Estudiante Inicio","Periodo de modificación excepcional Inscripciones, para carreras de pregrado diurno.","09-08-2025"
"Evento: Comunidad Término","Término de Clases Primer Semestre 2025 para Carreras de Pregrado Jornada Vespertina (Régimen Semestral).","08-08-2025"
"Evento: Comunidad Inicio","Inicio de Clases Segundo Semestre 2025 para Carreras de Pregrado Diurno y Programas de Postgrado Científico‑Tecnológico.","25-08-2025"
"Evento: Estudiante Inicio","Inscripción de asignaturas 2025‑2, para carreras de pregrado vespertino (régimen semestral).","15-08-2025"
"Evento: Comunidad ","Natalicio de Don Federico Santa María Carrera.","15-08-2025"
"Evento: Estudiante Término","Periodo de matrícula segundo semestre 2025 para Carreras de pregrado vespertino semestral.","22-08-2025"
"Evento: Estudiante Inicio","Periodo de matrícula segundo semestre 2025 para Carreras de pregrado vespertino semestral.","15-08-2025"
"Evento: Estudiante Término","Proceso Impedimentos Académicos 2025‑1.","17-07-2025"
"Evento: Estudiante Término","Periodo solicitud académica Excepción al Reglamento.","17-07-2025"
"Evento: Estudiante Inicio","Proceso Impedimentos Académicos 2025‑1.","15-07-2025"
"Evento: Estudiante Inicio","Periodo solicitud académica Excepción al Reglamento.","15-07-2025"
"Evento: Estudiante Término","Asignación Horario Primer Año 2025‑2 (Campus Casa Central Valparaíso, Campus Santiago San Joaquín y Campus Santiago Vitacura).","21-07-2025"
"Evento: Estudiante Inicio","Asignación Horario Primer Año 2025‑2 (Campus Casa Central Valparaíso, Campus Santiago San Joaquín y Campus Santiago Vitacura).","17-07-2025"
"Evento: Comunidad Término","Encuesta de Satisfacción Institucional (Académicos y Funcionarios)","03-08-2025"
"Evento: Estudiante Término","Encuesta de Satisfacción Institucional.","18-08-2025"
"Evento: Comunidad Inicio","Encuesta de Satisfacción Institucional.","04-08-2025"
"Evento: Comunidad ","Ceremonia de bienvenida y jornada de orientación para Estudiantes de intercambio 2do semestre 2025.","30-07-2025"
"Evento: Estudiante Término","Plazo para jefaturas de carrera puedan visar los y las ayudantes en Plataforma de Ayudantías (PAU)","04-08-2025"
"Evento: Estudiante Inicio","Plazo para jefaturas de carrera puedan visar los y las ayudantes en Plataforma de Ayudantías (PAU)","29-07-2025"
"Evento: Estudiante Término","Periodo solicitud académica asociadas equivalencias asignaturas USM/Reconocer cursos de otras entidades educativas. (Estudiantes pregrado vespertino)","05-09-2025"
"Evento: Estudiante Inicio","Periodo solicitud académica asociadas equivalencias asignaturas USM/Reconocer cursos de otras entidades educativas. (Estudiantes pregrado vespertino)","28-07-2025"
"Evento: Profesor Inicio","Plazo para pre‑selección ayudantías 2do semestre 2025","24-07-2025"
"Evento: Estudiante Término","Periodo solicitud académica de Desinscripción de asignaturas (Estudiantes pregrado diurno)","22-08-2025"
